"Total_score"	"Unused_score"	"% Cov"	"% Cov (95)"	"Accession"	"Peptides(95%)"	"Proteome_type"	"Cell_line"	"Treatment"	"Compartment"
6,29	6,27	40,1	14,5	"sp|P42167|LAP2B_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
6,25	6,25	55,9	25	"sp|Q71DI3|H32_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
6,23	6,23	46,4	15	"sp|P46781|RS9_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
6,18	6,18	21,9	4,6	"sp|P40939|ECHA_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
6,1	6,1	31,6	11,8	"sp|P62701|RS4X_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
6,01	6,01	16,2	8,6	"sp|P04844|RPN2_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
5,99	5,99	7,4	5,3	"sp|Q16891|MIC60_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
5,93	5,93	18,8	15,3	"sp|O15173|PGRC2_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
6,45	5,86	23,3	13,2	"sp|P04440|DPB1_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
5,78	5,78	33,3	14,6	"sp|P46783|RS10_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
5,58	5,58	37,5	16,9	"sp|P18124|RL7_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
5,54	5,54	31,6	11,7	"sp|P22695|QCR2_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
5,51	5,51	23	5,7	"sp|Q12906|ILF3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
5,5	5,5	7,7	1,8	"sp|Q8TAQ2|SMRC2_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
5,37	5,37	29,9	16,6	"sp|P08574|CY1_HUMAN"	5	"PSMA3"	"Im9"	"K"	"N"
5,36	5,36	23,5	7,5	"sp|Q9H0S4|DDX47_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
5,24	5,24	13	7,1	"sp|P12956|XRCC6_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
5,16	5,16	28,4	4,7	"sp|P07437|TBB5_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
5,11	5,11	25,3	9,1	"sp|O75306|NDUS2_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4,94	4,94	17,6	7,5	"sp|Q96AG4|LRC59_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,93	4,93	17,4	4,3	"sp|Q5T9A4|ATD3B_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,92	4,92	24,1	9,8	"sp|P36578|RL4_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4,91	4,91	32,2	9,3	"sp|P27635|RL10_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,82	4,82	23,8	5,5	"sp|Q00325|MPCP_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4,81	4,81	31,8	20,7	"sp|Q9Y6M9|NDUB9_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4,78	4,78	6,1	3,5	"sp|P13639|EF2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,76	4,76	20,5	7,4	"sp|P36542|ATPG_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,73	4,73	24,3	8,6	"sp|Q14165|MLEC_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,67	4,67	6,6	0,9	"sp|O75643|U520_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,6	4,6	16,3	10,5	"sp|P07910|HNRPC_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4,56	4,56	20,3	1,5	"sp|P02545|LMNA_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
4,44	4,44	8,3	0,6	"sp|Q00610|CLH1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
4,41	4,41	40,9	12	"sp|P62241|RS8_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,33	4,33	7,1	3	"sp|P46087|NOP2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,3	4,3	23,1	9,4	"sp|P49257|LMAN1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,26	4,26	29,8	8,4	"sp|O76021|RL1D1_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4,22	4,22	18,3	3,3	"sp|P13010|XRCC5_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,21	4,21	51,2	14	"sp|P84103|SRSF3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,28	4,19	22,1	4,9	"sp|Q15233|NONO_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,17	4,17	12,2	5,6	"sp|P31040|SDHA_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4,13	4,13	14	5,9	"sp|P51159|RB27A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
4,13	4,13	16,3	10,2	"sp|P08865|RSSA_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,1	4,1	40,7	16,6	"sp|P39019|RS19_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,09	4,09	11,6	3,2	"sp|P28331|NDUS1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,04	4,04	4,7	3,8	"sp|Q9Y4L1|HYOU1_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4	4	19,4	5	"sp|P39023|RL3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4	4	8,5	3,8	"sp|Q9UKF6|CPSF3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4	4	8,7	4	"sp|Q9UJS0|CMC2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4	4	14,6	5,1	"sp|Q12905|ILF2_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4	4	8,4	5	"sp|P00367|DHE3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4	4	3,9	2	"sp|P42285|SK2L2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4	4	14,4	9,1	"sp|Q96C36|P5CR2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4	4	10,3	7,6	"sp|Q92604|LGAT1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4	4	17,3	13,3	"sp|P19404|NDUV2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4	4	24,6	24,6	"sp|P62318|SMD3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
13,42	3,93	33,4	24	"sp|P18463|1B37_HUMAN"	7	"PSMA3"	"Im9"	"K"	"N"
3,89	3,89	25,8	4,7	"sp|Q9H9B4|SFXN1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,89	3,89	17,3	17,3	"sp|P51571|SSRD_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,88	3,88	30	4,8	"sp|P08621|RU17_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,85	3,85	33,9	15,9	"sp|P33241|LSP1_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4,27	3,84	38,5	9,5	"sp|Q13242|SRSF9_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,8	3,8	9,5	0,9	"sp|P05023|AT1A1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
5,63	3,75	19,1	15	"sp|P31942|HNRH3_HUMAN"	4	"PSMA3"	"Im9"	"K"	"N"
3,72	3,72	4,8	2,6	"sp|Q8NI36|WDR36_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,72	3,72	22,8	12,4	"sp|P61254|RL26_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,7	3,7	5,1	3,6	"sp|P20591|MX1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,65	3,65	23,4	4,6	"sp|P30101|PDIA3_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,64	3,64	8,9	8,9	"sp|Q00059|TFAM_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,61	3,61	13,7	3,4	"sp|P51659|DHB4_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,6	3,6	27,8	12,4	"sp|P13073|COX41_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,57	3,57	18	9,7	"sp|P62906|RL10A_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,55	3,55	6,6	2	"sp|P55265|DSRAD_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,54	3,54	33,9	10,9	"sp|P54819|KAD2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,48	3,48	20,9	14,4	"sp|O75396|SC22B_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,42	3,42	15,2	7,7	"sp|P43007|SATT_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,4	3,4	10,2	1,9	"sp|P08195|4F2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,4	3,4	16,6	9,8	"sp|Q15717|ELAV1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,38	3,38	11	3,6	"sp|P27797|CALR_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,36	3,36	7,7	0,6	"sp|Q8TEM1|PO210_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,35	3,35	6,2	0,9	"sp|P21333|FLNA_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,35	3,35	19	4,9	"sp|Q13151|ROA0_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,32	3,32	23,6	17,4	"sp|O00264|PGRC1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,21	3,21	9,9	4,8	"sp|Q9UQ80|PA2G4_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,2	3,2	10,7	3,5	"sp|Q15029|U5S1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,17	3,17	7,8	1,6	"sp|Q12788|TBL3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,17	3,17	11,9	8,8	"sp|P00403|COX2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,15	3,15	14,2	10,4	"sp|Q02878|RL6_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,14	3,14	10,4	5,9	"sp|P49961|ENTP1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,13	3,13	12,7	3,3	"sp|Q09028|RBBP4_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,08	3,08	8,2	1,2	"sp|Q9BSJ8|ESYT1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,08	3,08	3,7	1,8	"sp|P16615|AT2A2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,08	3,08	5,8	5,8	"sp|Q15306|IRF4_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,07	3,07	16,6	1,3	"sp|P09874|PARP1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
3,06	3,06	54,8	6,8	"sp|P10412|H14_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
3,03	3,03	49,3	5,3	"sp|P62269|RS18_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,98	2,98	7,1	1,8	"sp|O94826|TOM70_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,96	2,96	17,2	7	"sp|P62987|RL40_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,93	2,93	20,2	2,4	"sp|O75367|H2AY_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,92	2,92	3,8	3,8	"sp|P16435|NCPR_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
4,34	2,91	38,5	17,3	"sp|Q9Y277|VDAC3_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
2,91	2,91	15,9	8,1	"sp|Q9BPW8|NIPS1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,91	2,9	8,6	2,1	"sp|P02786|TFR1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,86	2,86	12,9	4,8	"sp|P31930|QCR1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,85	2,85	14,8	1,1	"sp|P36776|LONM_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,84	2,84	24,6	5,3	"sp|P61247|RS3A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,79	2,79	17,5	3,2	"sp|Q02978|M2OM_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,78	2,78	8,5	0,7	"sp|Q14839|CHD4_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,77	2,77	8,8	2,5	"sp|Q9BZZ5|API5_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,77	2,77	5,4	1,6	"sp|O94906|PRP6_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,77	2,77	6,2	2,3	"sp|Q9Y512|SAM50_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,74	2,74	11,9	2,7	"sp|Q9BXP5|SRRT_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,74	2,74	14,9	4,3	"sp|P36873|PP1G_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,74	2,73	13,8	2,7	"sp|Q86UE4|LYRIC_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,73	2,73	16	2,1	"sp|O75475|PSIP1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,71	2,71	26,2	3,5	"sp|Q13247|SRSF6_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,71	2,71	22	4,1	"sp|Q15907|RB11B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,71	2,71	25,4	25,4	"sp|P00167|CYB5_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,69	2,69	13,5	3,8	"sp|P62424|RL7A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,64	2,64	10,5	4	"sp|P18754|RCC1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,64	2,64	11,9	7,3	"sp|Q99986|VRK1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,59	2,59	5,3	1,2	"sp|Q5JPE7|NOMO2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,55	2,55	20,1	3	"sp|Q9Y6C9|MTCH2_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,53	2,53	5,3	1,1	"sp|Q14683|SMC1A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,51	2,51	22,1	6,6	"sp|Q16698|DECR_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,48	2,48	4,5	1	"sp|P21802|FGFR2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,45	2,45	15,1	0,9	"sp|Q15424|SAFB1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,45	2,45	18,7	3,2	"sp|Q9BUN8|DERL1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,43	2,43	23,5	6,4	"sp|P46782|RS5_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,39	2,39	14,5	1,3	"sp|P43243|MATR3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,38	2,38	11,8	1,4	"sp|Q9Y2W1|TR150_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,38	2,38	28,8	7	"sp|Q86V81|THOC4_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,36	2,36	9,3	1,9	"sp|P55084|ECHB_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,33	2,33	12,9	3,7	"sp|Q12907|LMAN2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,32	2,32	4,6	2,2	"sp|O95202|LETM1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,73	2,31	43,8	7,1	"sp|P16401|H15_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,29	2,29	26,1	10,9	"sp|P26373|RL13_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,29	2,29	13,6	7,6	"sp|P62834|RAP1A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,28	2,28	13,6	1,5	"sp|Q9Y5B9|SP16H_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,28	2,27	10,4	1,8	"sp|Q9BUJ2|HNRL1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,27	2,27	16,9	1,9	"sp|O14979|HNRDL_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,26	2,26	24,1	2,2	"sp|P20700|LMNB1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,26	2,26	14	3	"sp|O43813|LANC1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,26	2,26	8,3	3,2	"sp|Q9Y2X3|NOP58_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,19	2,19	7,5	1,9	"sp|Q86UX7|URP2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,18	2,18	4,9	1,4	"sp|Q9NTI5|PDS5B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,17	2,17	9,7	4,5	"sp|Q9Y5S1|TRPV2_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
2,16	2,16	9,6	2,7	"sp|Q9Y6N5|SQRD_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,14	2,14	13,1	3,3	"sp|Q14974|IMB1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,14	2,13	21,9	2,3	"sp|Q9Y383|LC7L2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,13	2,13	15,5	2,4	"sp|Q14739|LBR_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,13	2,13	24,4	11,6	"sp|P08579|RU2B_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,12	2,12	11,5	2,1	"sp|Q8N1F7|NUP93_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,11	2,11	11,3	1,9	"sp|Q9NUQ2|PLCE_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,1	2,1	6,4	0,8	"sp|P08575|PTPRC_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,09	2,09	31,7	5	"sp|Q01130|SRSF2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,09	2,09	22,6	5,6	"sp|P62995|TRA2B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,07	2,07	8,9	1,5	"sp|Q14498|RBM39_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,07	2,07	30,1	8,9	"sp|O43169|CYB5B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,07	2,07	8,8	3,8	"sp|Q8NHW5|RLA0L_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,06	2,06	12,7	2	"sp|Q5SSJ5|HP1B3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,06	2,06	17,2	6,1	"sp|P46777|RL5_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,05	2,05	9,9	1,7	"sp|P26368|U2AF2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,05	2,04	2,4	1,2	"sp|Q1KMD3|HNRL2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,04	2,04	12,7	4,2	"sp|P04899|GNAI2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,03	2,03	38	6,6	"sp|P48047|ATPO_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,03	2,03	7,9	1	"sp|P35606|COPB2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,03	2,03	4,4	2,3	"sp|Q96M61|MAGBI_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,03	2,03	7,8	3,1	"sp|P24539|AT5F1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,02	2,02	25,4	17,6	"sp|Q9NS69|TOM22_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,02	2,02	8,4	5,3	"sp|O43809|CPSF5_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
5,43	2	16,3	6,2	"sp|P42166|LAP2A_HUMAN"	3	"PSMA3"	"Im9"	"K"	"N"
4	2	9,7	9,7	"sp|P32322|P5CR1_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
2,91	2	17,4	6,8	"sp|Q92930|RAB8B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	10,1	2,3	"sp|Q8TDD1|DDX54_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	9,4	1,4	"sp|Q96GQ7|DDX27_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	4,5	1,2	"sp|O75694|NU155_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	12,3	3,5	"sp|Q9Y265|RUVB1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	12,4	2,4	"sp|Q99729|ROAA_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	3,1	0,9	"sp|Q96F07|CYFP2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	5	1,3	"sp|Q8N766|EMC1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	24,2	6,8	"sp|P51149|RAB7A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	11,6	2,5	"sp|P35249|RFC4_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	13,5	2,3	"sp|O43837|IDH3B_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	32,5	10,6	"sp|P42766|RL35_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	5,7	1,4	"sp|P29590|PML_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	4,7	1,5	"sp|O43143|DHX15_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	6,6	2,2	"sp|Q9Y2W2|WBP11_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	10,2	6,1	"sp|Q96HY6|DDRGK_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	7,2	2,8	"sp|Q969X5|ERGI1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	13	6,8	"sp|Q07812|BAX_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	16,9	10,6	"sp|P69905|HBA_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	3,8	1,8	"sp|P50990|TCPQ_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	9,3	5,6	"sp|P50914|RL14_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	8,9	3,1	"sp|P49406|RM19_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	20,6	9,1	"sp|P30050|RL12_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	8,2	4,5	"sp|P09326|CD48_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	5,2	3,1	"sp|P04004|VTNC_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	7	4,2	"sp|O75251|NDUS7_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	3,9	1,5	"sp|O43175|SERA_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	9,5	9,5	"sp|Q9Y3U8|RL36_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	6,3	6,3	"sp|Q9UL46|PSME2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	11,7	11,7	"sp|Q9UI09|NDUAC_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	2,8	2,8	"sp|Q96JB5|CK5P3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	9	9	"sp|Q6UW68|TM205_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	17,4	17,4	"sp|P62857|RS28_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	6,1	6,1	"sp|P51572|BAP31_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	5,2	5,2	"sp|P43307|SSRA_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	5,5	5,5	"sp|P30048|PRDX3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	5,1	5,1	"sp|P20645|MPRD_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	9,4	9,4	"sp|P13987|CD59_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2	2	15,9	15,9	"sp|O14949|QCR8_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,94	1,94	9,7	6,7	"sp|Q9UHB9|SRP68_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
1,93	1,93	8,1	2,1	"sp|Q96A33|CCD47_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,92	1,92	4,6	4,6	"sp|O14828|SCAM3_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,89	1,89	4,3	4,3	"sp|Q13148|TADBP_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,87	1,87	9,7	1	"sp|O95782|AP2A1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,84	1,84	4,8	3	"sp|P50991|TCPD_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,83	1,83	8,8	0,9	"sp|Q9BQG0|MBB1A_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,82	1,82	11,5	7,2	"sp|Q9BVK6|TMED9_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,78	1,78	5,6	0	"sp|O60716|CTND1_HUMAN"	0	"PSMA3"	"Im9"	"K"	"N"
3,69	1,77	22,3	6,6	"sp|P30511|HLAF_HUMAN"	2	"PSMA3"	"Im9"	"K"	"N"
1,76	1,76	6,7	1,9	"sp|Q03518|TAP1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,72	1,72	11,1	1,4	"sp|Q16666|IF16_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,72	1,72	25,5	13,8	"sp|P56134|ATPK_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,7	1,7	16,1	3,2	"sp|P21912|SDHB_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,7	1,7	8,7	1,5	"sp|O94776|MTA2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,65	1,65	13	4,3	"sp|P37268|FDFT_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,64	1,64	21,2	21,2	"sp|O43678|NDUA2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,63	1,63	6,5	1,9	"sp|Q10471|GALT2_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
2,59	1,6	17	5,5	"sp|P61026|RAB10_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,59	1,59	4,5	4,5	"sp|Q5BJF2|TMM97_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
1,57	1,57	14	14	"sp|P05386|RLA1_HUMAN"	1	"PSMA3"	"Im9"	"K"	"N"
